Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
202300000187;155680228;B01;2;7;0;2;4;2;1;
202300000188;155680224;A01;2;99;0;2;4;1;1;
202300000188;155680226;B01;2;7;0;2;1;1;1;
202300000189;155680223;B01;1;2;0;2;2;0;1;
202300000189;155680225;A01;1;7;0;2;3;0;1;
202300000190;155680220;A01;1;33;0;2;3;19;1;
202300000190;155680221;B01;2;7;0;2;3;1;1;
202300000191;155680219;A01;1;7;0;2;4;1;1;
202300000191;155680222;B01;1;7;0;2;1;1;1;
202300000192;155680218;A01;1;30;0;0;0;26;1;
202300000193;155680217;A01;1;31;16;0;8;26;1;
202300000194;155680215;A01;1;30;0;2;7;17;1;
202300000194;155680216;B01;1;7;0;2;3;1;1;
202300000195;155680214;A01;2;7;4;0;3;1;1;
202300000196;155680212;A01;2;7;0;2;5;16;1;
202300000196;155680213;B01;2;31;0;2;1;1;1;
202300000197;155680208;A01;1;50;0;2;1;19;3;
202300000197;155680210;B01;1;7;0;2;8;19;1;
202300000198;155680207;C01;1;7;0;2;0;2;1;
202300000198;155680209;A01;1;7;0;2;1;2;1;
202300000198;155680211;B01;1;10;0;2;4;2;1;
202300000199;155680206;B01;1;30;0;1;1;7;1;
202300000200;155680204;A01;2;32;12;0;0;18;0;
202300000201;155680201;B01;2;7;0;2;5;12;1;
202300000201;155680203;A01;2;33;0;2;1;3;1;
202300000201;155680205;C01;2;7;0;2;6;12;1;
202300000202;155680199;A01;1;50;1;0;1;1;3;
202300000203;155680200;A01;3;99;0;9;3;1;1;
202300000203;155680202;B01;0;1;0;2;2;1;0;
202300000204;155680197;B01;2;14;0;2;2;1;1;
202300000204;155680198;A01;2;7;0;2;8;11;1;
202300000205;155680194;A01;3;32;0;2;6;17;1;
202300000205;155680196;B01;3;7;0;2;6;15;1;
202300000206;155680193;A01;2;7;0;0;5;15;0;
202300000206;155680195;B01;1;99;0;2;1;1;3;
202300000207;155680192;A01;1;33;0;9;2;1;1;
202300000208;155680190;A01;2;7;3;0;1;1;1;
202300000209;155680189;A01;3;7;0;1;7;16;0;
202300000210;155680188;A01;1;7;0;2;2;15;1;
202300000210;155680191;B01;1;33;0;2;1;1;1;
202300000211;155680186;A01;3;30;0;0;1;2;3;
202300000212;155680184;A01;1;7;0;1;2;21;1;
202300000213;155680182;D01;2;7;0;2;4;1;1;
202300000213;155680183;A01;2;7;0;2;1;1;1;
202300000213;155680185;B01;2;7;0;2;4;1;1;
202300000213;155680187;C01;2;7;0;2;4;1;1;
202300000214;155680179;B01;0;7;8;2;8;1;1;
